x,y,z
-6.531920623779296875e+01,-3.254261016845703125e+01,8.395663452148437500e+01
-6.535026550292968750e+01,-3.251672744750976562e+01,8.395593261718750000e+01
-6.544056701660156250e+01,-3.244178771972656250e+01,8.395417785644531250e+01
-6.558579254150390625e+01,-3.232184982299804688e+01,8.395188140869140625e+01
-6.578163146972656250e+01,-3.216097640991210938e+01,8.394957733154296875e+01
-6.602375793457031250e+01,-3.196323394775390625e+01,8.394776916503906250e+01
-6.630787658691406250e+01,-3.173267555236816406e+01,8.394698333740234375e+01
-6.662966156005859375e+01,-3.147336959838867188e+01,8.394774627685546875e+01
-6.698479461669921875e+01,-3.118937301635742188e+01,8.395057678222656250e+01
-6.736896514892578125e+01,-3.088474845886230469e+01,8.395598602294921875e+01
-6.777785491943359375e+01,-3.056356048583984375e+01,8.396450042724609375e+01
-6.820715332031250000e+01,-3.022986602783203125e+01,8.397663879394531250e+01
-6.865254211425781250e+01,-2.988772964477539062e+01,8.399291992187500000e+01
-6.910971069335937500e+01,-2.954121208190917969e+01,8.401386260986328125e+01
-6.957434082031250000e+01,-2.919437217712402344e+01,8.403999328613281250e+01
-7.004212188720703125e+01,-2.885127639770507812e+01,8.407182312011718750e+01
-7.050873565673828125e+01,-2.851598358154296875e+01,8.410987854003906250e+01
-7.096986389160156250e+01,-2.819255447387695312e+01,8.415467834472656250e+01
-7.142130279541015625e+01,-2.788495063781738281e+01,8.420672607421875000e+01
-7.186122894287109375e+01,-2.759493255615234375e+01,8.426634216308593750e+01
-7.229010009765625000e+01,-2.732215309143066406e+01,8.433363342285156250e+01
-7.270847320556640625e+01,-2.706617164611816406e+01,8.440870666503906250e+01
-7.311688995361328125e+01,-2.682655143737792969e+01,8.449167633056640625e+01
-7.351591491699218750e+01,-2.660285758972167969e+01,8.458263397216796875e+01
-7.390609741210937500e+01,-2.639464950561523438e+01,8.468169403076171875e+01
-7.428799438476562500e+01,-2.620149040222167969e+01,8.478896331787109375e+01
-7.466214752197265625e+01,-2.602294540405273438e+01,8.490454864501953125e+01
-7.502912139892578125e+01,-2.585857391357421875e+01,8.502855682373046875e+01
-7.538947296142578125e+01,-2.570793914794921875e+01,8.516108703613281250e+01
-7.574374389648437500e+01,-2.557060623168945312e+01,8.530226135253906250e+01
-7.609249114990234375e+01,-2.544613456726074219e+01,8.545216369628906250e+01
-7.643626403808593750e+01,-2.533408927917480469e+01,8.561091613769531250e+01
-7.677562713623046875e+01,-2.523403167724609375e+01,8.577862548828125000e+01
-7.711112976074218750e+01,-2.514552307128906250e+01,8.595538330078125000e+01
-7.744332122802734375e+01,-2.506813049316406250e+01,8.614131164550781250e+01
-7.777275085449218750e+01,-2.500141143798828125e+01,8.633651733398437500e+01
-7.809998321533203125e+01,-2.494493103027343750e+01,8.654109191894531250e+01
-7.842555999755859375e+01,-2.489825248718261719e+01,8.675515747070312500e+01
-7.875003814697265625e+01,-2.486093711853027344e+01,8.697880554199218750e+01
-7.907372283935546875e+01,-2.483247756958007812e+01,8.721192932128906250e+01
